Title,Image_Name,Cleaned_Ingredients,ingredient_list,multi_hot
Crawfish Etouffée,crawfish-etouffee-242926,"['2 pounds peeled crawfish tails', '1 stick (8 tablespoons) butter', '2 cups chopped onions', '1 cup chopped green bell peppers', '1/2 cup chopped celery', '1 tablespoon cornstarch', '1 cup water', 'Salt and cayenne pepper, to taste', '1/3 cup chopped green onions', '1/4 cup chopped fresh parsley']","['crawfish tails', 'butter', 'onions', 'green bell peppers', 'celery', 'cornstarch', 'water', 'salt', 'cayenne pepper', 'green onions', 'parsley']",[0 0 0 ... 0 0 0]
Oystertini,oystertini-oyster-martini-cocktail,"['2 ounces (60 ml) gin', '1 raw oyster, liquor reserved', '1 strip of lemon peel']","['gin', 'oyster', 'lemon peel']",[0 0 0 ... 0 0 0]
Grilled Cuban Sandwich (Sandwich Cubano),grilled-cuban-sandwich-em-sandwich-cubano-em-364812,"['1 loaf Cuban bread, sliced lengthwise', '1/2 stick (1/4 cup) unsalted butter, softened', '3 tablespoons yellow mustard, or to taste', '1 1/2 pounds boiled ham, sliced', '1 1/2 pounds roasted pork , sliced', '1 pound Swiss cheese, sliced', '1 cup dill pickle chips', 'or to taste']","['loaf cuban bread', 'ted butter', 'yellow mustard', 'ham', 'pork', 'swiss cheese', 'dill pickle chips']",[0 0 0 ... 0 0 0]
Blue Claw Crab Boil With 3 Sauces,blue-claw-crab-boil-with-three-sauces,"['24 live blue crabs', '1/2 cup ketchup', '2 tablespoons wasabi paste', '1 tablespoon soy sauce', '1 tablespoon mustard powder', 'Fresh lemon juice', 'Worcestershire sauce', '3/4 cup ponzu sauce', '3/4 cup Thai sweet chile sauce', '2 limes', 'cut into wedges']","['blue crabs', 'ketchup', 'wasabi paste', 'soy sauce', 'mustard powder', 'lemon juice', 'worcestershire sauce', 'ponzu sauce', 'thai sweet chile sauce', 'limes']",[0 0 0 ... 0 0 0]
Champagne Punch with Brandy and Citrus,champagne-punch-241174,"['1/2 cup sugar', '1/2 cup water', '1 cup white grape juice', '1 1/2 cups fresh grapefruit juice (preferably pink or ruby red)', '1/4 cup fresh lime juice', '1/4 cup fresh lemon juice', '1 cup dry white wine', '1/4 cup Cognac or other brandy', '1/2 cup packed mint leaves', '1 navel orange, cut into 1/2-inch pieces', '1 lime, cut into 1/2-inch pieces', '1 lemon, cut into 1/2-inch pieces', '1 (750-ml) bottle Champagne or other sparkling white wine', 'chilled']","['sugar', 'water', 'white grape juice', 'grapefruit juice', 'lime juice', 'lemon juice', 'white wine', 'cognac', 'ed mint leaves', 'navel orange', 'lime', 'lemon', 'champagne']",[0 0 0 ... 0 0 0]
Berry Scones,berry-scones-367429,"['2 cups all-purpose gluten-free flour', '1 teaspoon xanthan gum', '1 tablespoon baking powder', '1/2 teaspoon kosher salt', '2 tablespoons sugar', '1 cup frozen berries (I love cranberries or blueberries here)', '5 tablespoons unsalted butter, diced and chilled', '1 cup milk (low-fat is fine', 'nonfat is not)']","['all-purpose gluten', 'flour', 'xanthan gum', 'baking powder', 'kosher salt', 'sugar', 'berries', 'ted butter', 'milk']",[0 0 0 ... 0 0 0]
Pastrami and Potato Hash with Fried Eggs,pastrami-and-potato-hash-with-fried-eggs,"['4 tablespoons unsalted butter', '4 tablespoons olive oil, divided', '1 1/2 pounds Yukon Gold potatoes (about 4 large), scrubbed, cut into 1"" pieces', '1/2 pound winter squash (such as acorn, butternut, or kabocha), peeled, cut into 1"" pieces', 'Kosher salt, freshly ground pepper', '2 leeks, white and pale-green parts only, chopped', '1 garlic clove, chopped', '1 pound pastrami or any leftover braised meat, cut or shredded into bite-size pieces', '4 large eggs', '1/4 cup sliced chives', '3/4 cup sour cream (optional)']","['ted butter', 'olive oil', 'yukon gold potatoes', 'winter squash', 'kosher salt', 'pepper', 'leeks', 'white', 'garlic', 'pastrami', 'eggs', 'chives', 'cream']",[0 0 0 ... 0 0 0]
Cider-Glazed Turkey,cider-glazed-turkey-356013,"['1 (12-to 14-pounds) turkey at room temperature 1 hour, neck and giblets (excluding liver) reserved for turkey stock', '1 apple, cut into chunks', '1 small onion, quartered', '1 small bunch thyme', '1 cup water', '1 cup unfiltered apple cider', '2 tablespoons sugar', '1/2 stick unsalted butter, cut into tablespoons', '2 cups dry white wine', 'Melted unsalted butter if necessary', '1/3 cup all-purpose flour', 'About 4 cups hot turkey giblet stock', 'Equipment: a 17- by 14-inch flameproof roasting pan with a flat rack; kitchen String; a 2-quart measuring cup or a fat separator']","['turkey', 'apple', 'onion', 'thyme', 'water', 'ed apple cider', 'sugar', 'butter', 'white wine', 'all-purpose flour', 'turkey giblet stock', 'roasting pan']",[0 0 0 ... 0 0 0]
Spicy Lightly Pickled Cucumbers,spicy-lightly-pickled-cucumbers,"['2 lb. medium Persian cucumbers (about 12), cut lengthwise into spears', '1/4 cup white wine vinegar or unseasoned rice vinegar', '1 tsp. sugar', '3/4 tsp. crushed red pepper flakes', '2 tsp. kosher salt, plus more', '2 Tbsp. chopped dill', '2 Tbsp. fresh lemon juice']","['persian cucumbers', 'white wine vinegar', 'sugar', 'red pepper flakes', 'kosher salt', 'dill', 'lemon juice']",[0 0 0 ... 0 0 0]
Grilled Pork Chops with Maple-Cranberry Glaze,grilled-pork-chops-with-maple-cranberry-glaze-235344,"['1 tablespoon sugar', '1 tablespoon hot smoked paprika (Pimentón de la Vera)*', '2 teaspoons seasoned salt', '2 teaspoons dry mustard', '2 teaspoons fine sea salt', '2 teaspoons celery salt', '2 teaspoons garlic salt', '2 teaspoons ground black pepper', '1 teaspoon onion powder', '1 teaspoon ground chipotle chile powder or ancho chile powder', '3/4 cup jellied cranberry sauce (about half of one 16-ounce can)', '1/2 cup pure maple syrup', '1/4 cup cran-raspberry juice', '2 tablespoons Dijon mustard', '1 tablespoon triple sec or other orange liqueur', '1 1/2 teaspoons grated orange peel', '1/4 teaspoon fine sea salt', '1/4 teaspoon ground black pepper', 'Nonstick vegetable oil spray', '8 3/4-inch-thick center-cut pork rib chops']","['sugar', 'paprika', 'ed salt', 'mustard', 'sea salt', 'celery salt', 'garlic salt', 'black pepper', 'onion powder', 'chipotle chile powder', 'cranberry sauce', 'pure maple syrup', 'cran-raspberry juice', 'dijon mustard', 'triple sec', 'orange peel', 'vegetable oil spray', 'center', 'pork rib chops']",[0 0 0 ... 0 0 0]
Chocolate Peppermint Stars,chocolate-peppermint-stars-387472,"['Buttery Sugar Cookie dough recipe with an addition and adjustments', '2/3 cup unsweetened cocoa powder', '""1 cup coarsely crushed small red and white candy canes (see Cooks Notes)""', '""4 ounces good bittersweet (60% cacao) chocolate', 'melted (see Cooks Notes)""', 'Wax paper; parchment paper; 2 large baking sheets; 2- to 3-inch star cookie cutters; small offset spatula (optional)']","['buttery sugar cookie dough recipe', 'ed cocoa powder', 'red', 'white candy canes', 'bittersweet', 'chocolate', 'paper']",[0 0 0 ... 0 0 0]
Mulled Pears and Apples,mulled-pears-and-apples-351111,"['4 quarts apple juice', '2 cinnamon sticks (each 3 inches long)', '1 large piece crystallized ginger', '6 whole cloves', '1 lemon, halved', '4 Fuji apples, or other cooking apples', '4 Bartlett or Anjou pears']","['apple juice', 'cinnamon', 'ginger', 'cloves', 'lemon', 'fuji apples', 'bartlett', 'anjou pears']",[0 0 0 ... 0 0 0]
Bittersweet Cocoa Soufflé with Orange Blossom Cream,bittersweet-cocoa-souffle-with-orange-blossom-cream-363723,"['1/2 cup plus 3 tablespoons sugar', '2 tablespoons all purpose flour', '2/3 cup plus 2 tablespoons whole milk', '1/2 cup atural unsweetened cocoa powder (spooned into cup to measure, then leveled)', '2 large egg yolks', '1 teaspoon vanilla extract', '4 large egg whites', '1/8 teaspoon cream of tartar', '3 ounces bittersweet chocolate (do not exceed 61% cacao), finely chopped', 'Orange Blossom Cream', '8 2/3-to 3/4-cup ramekins or custard cups']","['sugar', 'all purpose flour', 'milk', 'atural', 'ed cocoa powder', 'egg yolks', 'vanilla extract', 'egg whites', 'cream', 'tartar', 'bitters', 'et chocolate', 'orange blossom cream', 'ramekins']",[0 0 0 ... 0 0 0]
Dried Tomato and Fennel Stuffing,dried-tomato-and-fennel-stuffing-14486,"['10 cups 1/4-inch dice crusty country-style bread (about 1 pound)', '1 1/2 pounds fennel bulbs (sometimes called anise; about 4 medium)', '1 stick (1/2 cup) unsalted butter', '1/2 cup drained oil-packed dried tomatoes (about 4 ounces)', '3 cups chicken broth', '2 tablespoons balsamic vinegar', '1 teaspoon dried basil', '1/2 teaspoon dried oregano']","['crusty country-style bread', 'fennel bulbs', 'ani', 'ted butter', 'd tomatoes', 'chicken broth', 'balsamic vinegar', 'basil', 'oregano']",[0 0 0 ... 0 0 0]
Triple-Cherries Jubilee,triple-cherries-jubilee-102146,"['1 (1-pound) bag frozen dark sweet cherries, thawed', '2 cups plus 1 tablespoon cherry juice', '1/2 cup dried tart cherries', '3 tablespoons sugar', '1 vanilla bean, split lengthwise', '1 tablespoon arrowroot', '1/4 cup thin matchstick-size strips orange peel (orange part only)', '1/3 cup kirsch (clear cherry brandy)', '1 quart vanilla or cherry-vanilla-swirl ice cream']","['dark sweet cherries', 'cherry juice', 'tart cherries', 'sugar', 'vanilla bean', 'arrowroot', 'orange peel', 'kirsch', 'brand', 'vanilla']",[0 0 0 ... 0 0 0]
Duck Breast with Roasted Peaches and Walnut-Parsley Fried Rice,duck-breast-with-roasted-peaches-and-walnut-parsley-fried-rice-240324,"['2 cups jasmine rice', '1 cup soy sauce', '1/2 cup fresh lime juice (from 2 medium limes)', '3 tablespoons fresh ginger, finely chopped (from 2-inch-long knob)', '2 cloves garlic, finely chopped', '1 tablespoon sesame oil', '4 teaspoons vegetable oil, plus more if needed to add to duck fat', '3 medium peaches, unpeeled, halved vertically and pitted', '2 tablespoons sugar', '6 (8-ounce) boneless duck breasts with skin', '1 1/2 teaspoons coarse sea salt or other coarse salt', '1 teaspoon freshly ground pepper, preferably white', '3/4 cup veal or duck demi-glace*', '1 tablespoon unsalted butter', '1/2 medium shallot, finely chopped', '1 cup walnut pieces, toasted epi:recipelinkand chopped</epi:recipelink>', '1 cup fresh parsley leaves, coarsely chopped', '2 tablespoons chicken stock or low-sodium chicken broth', '3/4 cups mixed micro greens', '2 tablespoons fresh chives, finely chopped', '""*We recommend using DArtagnan veal and duck demi-glace', 'available at some supermarkets or online at dartagnan.com.""', 'wok']","['jasmine rice', 'soy sauce', 'lime juice', 'lime', 'ginger', 'garlic', 'sesame oil', 'vegetable oil', 'peaches', 'sugar', 'duck breasts', 'sea salt', 'pepper', 'white', 'veal', 'ted butter', 'shallot', 'walnut', 'parsley leaves', 'chicken stock', 'mixed micro greens', 'chives', 'tagna', 've', 'du', 'wok']",[0 0 0 ... 0 0 0]
Beet and Carrot Salad With Curry Dressing and Pistachios,beet-and-carrot-salad-with-curry-dressing-and-pistachios,"['1/2 cup pistachios', '1 teaspoon plus 1/2 cup olive oil', 'Kosher salt', '1 tablespoon curry powder', '2 garlic cloves, finely grated', '3 tablespoons apple cider vinegar', '1 tablespoon Dijon mustard', '4 small beets (any color), peeled, thinly sliced on a mandoline', '4 medium carrots, peeled, shaved lengthwise into ribbons with a vegetable peeler', 'Lemon juice (for serving)']","['pistachios', 'olive oil', 'kosher salt', 'curry powder', 'garlic', 'apple cider vinegar', 'dijon mustard', 'beets', 'carrots', 'lemon juice']",[0 0 0 ... 0 0 0]
Lasagne Bolognese with Spinach,lasagne-bolognese-with-spinach-351166,"['1/4 cup olive oil', '3 ounces sliced pancetta, finely chopped', '1 medium onion, finely chopped', '1 large carrot, finely chopped', '1 celery rib, finely chopped', '2 garlic cloves, chopped', '2 pounds ground beef chuck (not lean)', '1 1/2 cups dry white wine', '1 1/2 cups whole milk', '1/4 cup tomato paste', '1 1/2 teaspoon thyme leaves', '2 (10-ounce) packages frozen chopped spinach,thawed', '2 (15-ounce) containers whole-milk ricotta', '4 large eggs, lightly beaten', '1/2 cup grated Parmigiano-Reggiano', '1/2 teaspoon grated nutmeg', '3/4 cup whole milk, divided', '12 Barilla no-boil dried lasagne noodles (from 1 box)', '1/2 cup grated Parmigiano-Reggiano', 'Equipment: a 13- by 9-inch baking pan (3 inches deep)']","['olive oil', 'pancetta', 'onion', 'carrot', 'celery rib', 'garlic', 'beef chuck', 'white wine', 'milk', 'tomato paste', 'thyme leaves', 'spinach', 'whole-milk ricotta', 'eggs', 'parmigiano-reggiano', 'nutmeg', 'barilla', 'lasagne noodles', 'baking pan']",[0 0 0 ... 0 0 0]
Soy-Basted Chicken Kebabs with Sesame-Citrus Sprinkle,soy-sauce-chicken-kebabs-with-sesame-lemon-sprinkle,"['2 tablespoons toasted white and/or black sesame seeds', '1 tablespoon thinly sliced chives', '1 teaspoon Aleppo-style pepper or other mild red pepper flakes', '1/2 teaspoon finely grated lemon zest', 'Kosher salt', '1/3 cup (packed) light brown sugar', '1/3 cup mirin (sweet Japanese rice wine)', '1/3 cup soy sauce', '1/4 cup unseasoned rice vinegar', '1 1/4 pounds skinless, boneless chicken thighs', 'Vegetable oil (for grill)', 'Kosher salt', '8 (8–12-inch-long) metal skewers']","['white', 'black sesame seeds', 'chives', 'aleppo', 'pepper', 'lemon zest', 'kosher salt', 'brown sugar', 'mirin', 'soy sauce', 'rice vinegar', 'chicken thighs', 'vegetable oil', 'metal skewers']",[0 0 0 ... 0 0 0]
Blood Orange and Poppy Polenta Shortbread Cookies,blood-orange-poppy-polenta-shortbread-cookies,"['1 cup (2 sticks) unsalted butter, room temperature, plus more for pan', '2/3 cup polenta (coarse cornmeal)', '1 teaspoon kosher salt', '1 1/2 cups all-purpose flour, plus more for hands', '1/2 cup granulated sugar', 'Finely grated zest of 1 lemon', 'Finely grated zest of 2 blood oranges', '2 teaspoons vanilla extract', '2 tablespoons poppy seeds, plus more for sprinkling', '1/2 cup blood orange juice', '1 cup powdered sugar']","['ted butter', 'polenta', 'kosher salt', 'all-purpose flour', 'sugar', 'zest', 'lemon', 'orang', 'vanilla extract', 'poppy seeds', 'blood orange juice', 'ed sugar']",[0 0 0 ... 0 0 0]
Stuffed Cabbage With Lemony Rice and Sumac,stuffed-cabbage-with-lemony-rice-and-sumac,"['12–14 large savoy or green cabbage leaves (from 1 large head)', 'Kosher salt', '¾ cup long-grain white rice (such as basmati or jasmine), rinsed', '¼ cup extra-virgin olive oil, plus more for drizzling', '1 large onion, finely chopped', '½ cup pine nuts', '1 cup finely chopped mixed tender herbs (such as parsley, mint, dill, and/or tarragon)', '⅓ cup chopped golden or brown raisins', '2 Tbsp. sumac, plus more for serving', '1 Tbsp. fresh lemon juice', '1 large egg, beaten to blend', 'Freshly ground black pepper', '3 Tbsp. unsalted butter', 'Sour cream (for serving)']","['savo', 'kosher salt', 'in white rice', 'extra-virgin olive oil', 'onion', 'pine nuts', 'mixed tender herbs', 'golden', 'brown raisins', 'sumac', 'lemon juice', 'egg', 'blend', 'black pepper', 'ted butter', 'cream']",[0 0 0 ... 0 0 0]
Basic Cake Balls,basic-cake-balls-361550,"['18.25-ounce box cake mix', '9-by-13-inch cake pan', 'Large mixing bowl', 'One 16-ounce container ready-made frosting', 'Large metal spoon', 'Wax paper', '2 baking sheets', 'Plastic wrap', '32 ounces (2 pounds) candy coating', 'Deep, microwave-safe plastic bowl', 'Toothpicks', 'Resealable plastic bag or squeeze bottle (optional)']","['cake mix', 'cake pan', 'mixing bowl', 'frosting', 'metal spo', 'wax paper', 'baking', 'plastic wrap', 'candy coating', 'plastic bowl', 'toothpicks', 'plastic bag']",[0 0 0 ... 0 0 0]
Spicy Honey Mustard Sauce,spicy-honey-mustard-sauce-56389343,"['1 cup Dijon mustard', '1/2 cup mayonnaise', '1/2 cup honey', '1/2 teaspoon kosher salt', '1/4 teaspoon cayenne pepper', '1/4 teaspoon dry mustard powder']","['dijon mustard', 'mayonnaise', 'honey', 'kosher salt', 'cayenne pepper', 'mustard powder']",[0 0 0 ... 0 0 0]
Cabbage Tabbouleh,cabbage-tabbouleh,"['1/4 cup bulgur (not quick-cooking)', '1/4 medium head of green cabbage, cored, very thinly sliced (about 4 cups)', '1/2 medium white onion, very thinly sliced', '2 cups very finely chopped parsley', '1 cup mint leaves, torn if large', '1 tsp. ground allspice', '1/3 cup extra-virgin olive oil', '1/3 cup fresh lemon juice', 'Kosher salt', 'Fresh green chiles (optional)']","['bulgur', 'green cabbage', 'white onion', 'parsley', 'mint', 's', 'allspice', 'extra-virgin olive oil', 'lemon juice', 'kosher salt', 'green chiles']",[0 0 0 ... 0 0 0]
The Cure,the-cure-352710,"['2 cups ice cubes', '2 tablespoons (1 ounce) Domaine de Canton ginger liqueur', '10 tablespoons (5 ounces) light lager, such as Miller High Life', '1 tablespoon (1/2 ounce) fresh lemon juice', '5 (1-inch) pieces peeled fresh ginger cut into thin matchsticks']","['ice cubes', 'domaine de canton ginger liqueur', 'lager', 'lemon juice', 'ginger']",[0 0 0 ... 0 0 0]
Maple Pumpkin Pie,maple-pumpkin-pie-13429,"['2 recipes pastry dough', 'an egg wash made by beating 1 large egg yolk with 1 teaspoon water', '1 cup Grade B maple syrup*', '2 cups canned solid-pack pumpkin', '1 teaspoon cinnamon', '1 teaspoon ground ginger', '1/2 teaspoon salt', '1 cup heavy cream', '2/3 cup milk', '2 large eggs', '*available at some specialty foods shops']","['recipe', 'pastry dough', 'egg wash', 'grade b maple syrup', 'solid', 'pack pumpkin', 'cinnamon', 'ginger', 'salt', 'heavy cream', 'milk', 'eggs', 'food']",[0 0 0 ... 0 0 0]
"Sunday Sauce with Braciole, Meatballs, and Sausage",sunday-sauce-with-braciole-meatballs-and-sausage,"['2 medium onions, cut into 1"" pieces', '4 garlic cloves, peeled', '1/4 cup olive oil', '1 1/2 teaspoons kosher salt, divided', '2 tablespoons tomato paste', '2 teaspoons dried oregano', '1 teaspoon crushed red pepper flakes', '2 (28-ounce) cans whole peeled tomatoes, crushed', '3 (packed) cups basil leaves', '1/2 teaspoon freshly ground black pepper', '1 cup finely grated Parmesan', '2/3 cup chopped parsley', '1/2 cup fine breadcrumbs', '3 garlic cloves, finely chopped', '6 slices beef top round (about 1 1/2 pounds total), pounded 1/4"" thick', '1 1/4 teaspoons kosher salt, divided', '3/4 teaspoon freshly ground black pepper, divided', '2 tablespoons olive oil, divided', '1 pound ground beef chuck (20% fat)', '2 large eggs', '2 tablespoons milk', '3/4 teaspoon kosher salt', '1/4 teaspoon freshly ground black pepper', '2 tablespoons olive oil, divided', '6 sweet Italian sausages', '1 pound pasta, such as spaghetti', 'Kosher salt', 'Finely grated Parmesan (for serving)', '""Butchers twine""']","['onions', 'garlic', 'olive oil', 'kosher salt', 'tomato paste', 'oregano', 'red pepper flakes', 'tomatoes', 'basil leaves', 'black pepper', 'parmesan', 'parsley', 'breadcrumbs', 'beef top round', 'beef chuck', 'eggs', 'milk', 'sweet italian sausages', 'pasta', 'spaghetti', 'butchers twine']",[0 0 0 ... 0 0 0]
Fruit-Filled Ice Ring,fruit-filled-ice-ring-368938,"['2 green pears', '2 cored red apples']","['green pears', 'red apples']",[0 0 0 ... 0 0 0]
"Roasted and Marinated Beets with Burrata, Charred Kale, and Hazelnut Vinaigrette",roasted-and-marinated-beets-with-burrata-charred-kale-and-hazelnut-vinaigrette,"['1/4 cup grated Pecorino or Parmigiano cheese', '2 tablespoons extra-virgin olive oil', 'Zest and juice of 1 lemon', '1 clove garlic, minced', '1⁄2 teaspoon honey', '1/2 teaspoon kosher salt', '1/4 teaspoon crushed red chile flakes', 'Freshly ground black pepper', '1 large bunch black Tuscan kale, ribs removed and coarsely chopped', '1/4 heaping cup hazelnuts, toasted in a skillet over medium heat until fragrant and then finely ground', '3 tablespoons hazelnut oil', '1 tablespoon red wine vinegar', '1 teaspoon finely chopped shallot', '1 teaspoon minced thyme leaves', '1/2 teaspoon honey', '1/4 teaspoon kosher salt', '3 cranks black pepper', 'Roasted and marinated beets', '2 balls burrata or fresh mozzarella cheese, torn into rough chunks', 'Kosher salt', 'Freshly ground black pepper', '1/2 cup coarsely chopped toasted hazelnuts']","['cheese', 'extra-virgin olive oil', 'zest', 'juice', 'lemon', 'garlic', 'honey', 'kosher salt', 'red chile flakes', 'black pepper', 'black tuscan kale', 'hazelnuts', 'hazelnut oil', 'red wine vinegar', 'shallot', 'thyme leaves', 'rank', 'beets', 'burrata']",[0 0 0 ... 0 0 0]
"Late Summer Tomato Soup with Shell Beans, Squid Rings and Parsley",late-summer-tomato-soup-with-shell-beans-squid-rings-and-parsley-243585,"['4 large tomatoes, cut into chunks', 'Parchment paper', '3 teaspoons olive oil, divided', '1 leek, thinly sliced', '1/2 medium onion, diced', '4 cloves garlic, sliced', '1/4 cup red wine', '2 sprigs oregano', '1/4 cup plus 2 tablespoons chopped flat-leaf parsley', '1/4 pound (1 1/2 cups) shelled beans (such as fava, lima or cranberry)', '1/4 pound (3/4 cup) flat romano beans, cut into 1-inch lengths', '1 1/2 teaspoon salt', '1/4 teaspoon cayenne pepper', '1/4 pound squid, thinly sliced', '1 clove garlic, finely chopped', '4 slices crusty bread', '1 clove garlic']","['tomatoes', 'parchment paper', 'olive oil', 'leek', 'onion', 'garlic', 'red wine', 'oregano', 'leaf parsley', 'beans', 'romano beans', 'salt', 'cayenne pepper', 'squid', 'crusty bread']",[0 0 0 ... 0 0 0]
Seafood Risotto (Risotto ai Fruitti di Mare),seafood-risotto-risotto-ai-fruitti-di-mare-51112620,"['2 1/2 cups fish or vegetable stock', '1/3 cup olive oil', '3 tablespoons unsalted butter', '1 small onion, minced (about 1/2 cup)', '1 1/3 cups Carnaroli or Vialone Nano rice', '1/2 cup dry white wine', '8 small clams, such as Manila', '8 mussels, scrubbed and debearded', '4 ounces squid, cleaned and cut into thin rings', '4 medium sea scallops', '1/2 cup peeled, crushed, and seeded plum tomatoes', '1/2 cup loosely packed chopped fresh flat-leaf parsley', '1/2 teaspoon chopped garlic', '1 tablespoon brandy', '1 tablespoon extra-virgin olive oil', '1/2 cup freshly grated Parmigiano-Reggiano, optional', 'Salt and freshly ground black pepper', 'N/A freshly ground black pepper']","['fish', 'olive oil', 'ted butter', 'onion', 'carnaroli', 'white wine', 'clams', 'mussels', 'squid', 'sea scallops', 'plum tomatoes', 'flat', 'leaf parsley', 'garlic', 'brandy', 'extra-virgin olive oil', 'parmigiano-reggiano', 'salt', 'black pepper']",[0 0 0 ... 0 0 0]
Mixed Berry Pavlovas,mixed-berry-pavlovas-103405,"['13 large egg whites', '1/4 teaspoon salt', '2 1/2 cups superfine granulated sugar', '1 1/2 tablespoons cornstarch', '1 1/2 tablespoons distilled white vinegar', '2 lb strawberries, halved or quartered if large', '3 tablespoons fresh lime juice', '1/4 cup plus 1 1/2 tablespoons granulated sugar', '1 lb blackberries', '2 1/2 cups chilled heavy cream', '2 teaspoons vanilla', 'Special equipment: a standing electric mixer']","['egg whites', 'salt', 'sugar', 'cornstarch', 'white vinegar', 'strawberries', 'lime juice', 'blackberries', 'ed heavy cream', 'vanilla', 'electric mix']",[0 0 0 ... 0 0 0]
Green Beans with Toasted Walnuts and Dried-Cherry Vinaigrette,green-beans-with-toasted-walnuts-and-dried-cherry-vinaigrette-361791,"['1/3 cup extra-virgin olive oil', '1/3 cup minced shallots', '3 tablespoons plus 2 teaspoons Sherry wine vinegar', '2 tablespoons chopped fresh mint', '1 1/2 teaspoons coarse kosher salt', '1 teaspoon sugar', '1/2 teaspoon black pepper plus additional (for sprinkling)', '1/3 cup dried tart cherries', '1 1/2 pounds trimmed slender green beans (such as haricots verts)', '1/2 cup walnuts', 'toasted', 'chopped']","['extra-virgin olive oil', 'shallots', 'sherry wine vinegar', 'mint', 'kosher salt', 'sugar', 'black pepper', 'tart cherries', 's', 'green beans', 'walnuts']",[0 0 0 ... 0 0 0]
"Endive, Apple, and Celery Salad with Smoked Almonds and Cheddar",endive-apple-and-celery-salad-with-smoked-almonds-and-cheddar,"['1/4 cup plus 1 tablespoon Champagne or white wine vinegar', '2 Honeycrisp apples, thinly sliced', '2 teaspoons whole-grain Dijon mustard', '1/4 teaspoon kosher salt', '1/3 cup extra-virgin olive oil', '8 medium endives (about 1 3/4 pounds), cut on the bias into 1/2""-thick slices, cores thinly sliced', '1 head of celery, leaves removed and reserved, stalks very thinly sliced on the bias', '1/2 pound aged sharp cheddar, shaved on the slicing blade of a box grater', '3/4 cup coarsely chopped salted, smoked almonds, divided', 'Flaky sea salt', 'Freshly ground black pepper', '1/2 cup (1"") chives']","['champagne', 'honeycrisp apples', 'in dijon mustard', 'kosher salt', 'extra-virgin olive oil', 'endives', 'celery', 'cheddar', 'almonds', 'flaky sea salt', 'black pepper', 'chives']",[0 0 0 ... 0 0 0]
Pickled Crudités,pickled-crudites-368977,"['2 cups distilled white vinegar', '2 cups white wine vinegar', '1/3 cup sugar', '1/4 cup plus 2 teaspoons kosher salt', '8 bay leaves', '8 garlic cloves, smashed', '4 chiles de árbol', '2 tablespoons fennel seeds', '2 tablespoons coriander seeds', '1 tablespoon whole black peppercorns', '1 tablespoon yellow mustard seeds', '1 pound baby or small red-skinned sweet potatoes, peeled or unpeeled, cut lengthwise into spears', '1 pound brussels sprouts, trimmed, halved', '1 pound baby carrots, peeled, trimmed with 1/2"" green tops still attached, halved lengthwise if more than 1"" in diameter', '12 baby turnips or radishes, trimmed with 1/2"" green tops still attached', '1 large fennel bulb, trimmed, halved lengthwise, cut into 1/3"" wedges with some core attached', '1 pound baby bell (Ariel) peppers, cored, halved lengthwise, or assorted red, yellow, and orange bell peppers, quartered lengthwise', 'Ingredient info: Chiles de árbol are sold at better supermarkets and at Latin American markets.']","['white vinegar', 'white wine vinegar', 'sugar', 'kosher salt', 'bay leaves', 'garlic', 'chiles de árbol', 'fennel seeds', 'coriander seeds', 'black peppercorns', 'yellow mustard seeds', 'baby', 'brussels sprouts', 'baby carrots', 'baby turnips', 'green', 'fennel bulb', 'baby bell', 'peppers', 'ingredient']",[0 0 0 ... 0 0 0]
Chocolate-Malt Ice Cream,chocolate-malt-ice-cream-51178810,"['6 ounces chopped bittersweet chocolate', '1 cup chopped malted milk balls']","['bitters', 'et chocolate', 'milk balls']",[0 0 0 ... 0 0 0]
Grilled Wild Salmon with Garlic Scape Pesto and Summer Squash,grilled-wild-salmon-with-garlic-scape-pesto-and-summer-squash,"['Coconut oil, for the grill', '2 cups garlic scapes', '2 cups packed kale leaves', '1/2 cup olive oil', '1/2 cup grated Parmesan or pecorino Romano cheese', '1/4 teaspoon salt', '1/8 teaspoon freshly ground black pepper', '4 wild salmon fillets, skin intact (1 pound)', '1 pound yellow squash', 'sliced into 1/4-inch strips']","['coconut oil', 'garlic scapes', 'ed kale leaves', 'olive oil', 'parmesan', 'salt', 'black pepper', 'wild salmon fillets', 'yellow squash']",[0 0 0 ... 0 0 0]
Goat Cheese with Chipotle and Roasted Red Pepper,goat-cheese-with-chipotle-and-roasted-red-pepper-364031,"['1 teaspoon cumin seeds', '1 11-ounce log soft fresh goat cheese', '1 cup drained roasted red pepper strips from jar', '1/4 cup extra-virgin olive oil', '2 teaspoons chipotle hot sauce', '1 small garlic clove, pressed', '1/4 cup chopped fresh cilantro', '2 tablespoons toasted salted pumpkin seeds (pepitas) toasted', 'Baguette slices or crackers']","['cumin seeds', 'goat cheese', 'red pepper strips', 'extra-virgin olive oil', 'chipotle', 'sauce', 'garlic', 'cilantro', 'ted pumpkin seeds', 'baguette']",[0 0 0 ... 0 0 0]
