Title,Image_Name,Macronutrients,Protein,Fat,Carbs,Total Calories
Torshi Tareh (Persian Sour Herb Stew With Marbled Eggs),torshi-tareh-persian-sour-herb-stew-with-marbled-eggs,"[Protein = 25g, Fat = 40g, Carbs = 60g, Total Calories = 800]",25.0,40.0,60.0,800.0
Efo Riro With Kale and Whitefish,efo-riro-with-kale-and-whitefish,"[Protein = 45g, Fat = 50g, Carbs = 80g, Total Calories = 1000]",45.0,50.0,80.0,1000.0
Cabbage Potato Pie,cabbage-potato-pie,"[Protein = 25g, Fat = 40g, Carbs = 60g, Total Calories = 800]",25.0,40.0,60.0,800.0
Yogurt and Persian Shallot Dip (Mast-o Musir),yogurt-and-persian-shallot-dip-mast-o-musir,"[Protein = 15g, Fat = 35g, Carbs = 50g, Total Calories = 700]",15.0,35.0,50.0,700.0
Persian Rice With Fava Beans and Dill (Baqala Polow),persian-rice-with-fava-beans-and-dill-baqala-polow,"[Protein = 25g, Fat = 40g, Carbs = 60g, Total Calories = 800]",25.0,40.0,60.0,800.0
Chile and Ginger–Fried Tofu Salad With Kale,chile-and-ginger-fried-tofu-salad-with-kale-melissa-clark-dinner,"[Protein = 25g, Fat = 45g, Carbs = 70g, Total Calories = 900]",25.0,45.0,70.0,900.0
Spicy Sweet-and-Sour Salmon With Dates (Qaliyeh-e Khorma),spicy-sweet-and-sour-salmon-with-dates-qaliyeh-e-khorma,"[Protein = 30g, Fat = 50g, Carbs = 75g, Total Calories = 1000]",30.0,50.0,75.0,1000.0
Kateh (Persian Stove-Top Rice),kateh-persian-stove-top-rice,"[Protein = 25g, Fat = 40g, Carbs = 60g, Total Calories = 850]",25.0,40.0,60.0,850.0
Pistachio and Pomegranate Meatballs (Kufteh-Ye Pesteh-o Anar),pistachio-and-pomegranate-meatballs-kufteh-ye-pesteh-o-anar,"[Protein = 15g, Fat = 35g, Carbs = 55g, Total Calories = 700]",15.0,35.0,55.0,700.0
Sumac Baked Fish With Saffron Quinoa,sumac-baked-fish-with-saffron-quinoa,"[Protein = 40g, Fat = 50g, Carbs = 75g, Total Calories = 1000]",40.0,50.0,75.0,1000.0
Persian Celery Stew With Mushrooms (Khoresh-e Karafs),persian-celery-stew-with-mushrooms-khoresh-e-karafs,"[Protein = 25g, Fat = 35g, Carbs = 55g, Total Calories = 800]",25.0,35.0,55.0,800.0
Jerk Tofu Wrapped in Collard Leaves,jerk-tofu-wrapped-in-collard-leaves-bryant-terry-vegetable-kingdom,"[Protein = 30g, Fat = 45g, Carbs = 70g, Total Calories = 950]",30.0,45.0,70.0,950.0
Cassoulet Toast,cassoulet-toast,"[Protein = 25g, Fat = 35g, Carbs = 60g, Total Calories = 800]",25.0,35.0,60.0,800.0
All-The-Seeds Hamantaschen,all-the-seeds-hamantaschen,"[Protein = 25g, Fat = 35g, Carbs = 60g, Total Calories = 800]",25.0,35.0,60.0,800.0
Greek Turkey Burgers,greek-turkey-burgers,"[Protein = 45g, Fat = 60g, Carbs = 85g, Total Calories = 1100]",45.0,60.0,85.0,1100.0
Crispy Tofu Balls,crispy-tofu-balls,"[Protein = 35g, Fat = 45g, Carbs = 70g, Total Calories = 950]",35.0,45.0,70.0,950.0
Black Apple Old-Fashioned,black-apple-old-fashioned-teague-jagermeister,"[Protein = 30g, Fat = 40g, Carbs = 65g, Total Calories = 900]",30.0,40.0,65.0,900.0
Oat Milk,homemade-oat-milk,"[Protein = 5g, Fat = 20g, Carbs = 35g, Total Calories = 300]",5.0,20.0,35.0,300.0
Amazuzuke (Quick Vinegar Pickles),amazuzuke-quick-vinegar-pickles-sonoko-sakai,"[Protein = 20g, Fat = 35g, Carbs = 55g, Total Calories = 700]",20.0,35.0,55.0,700.0
Chicken-Lentil Soup With Jammy Onions,chicken-lentil-soup-with-jammy-onions,"[Protein = 50g, Fat = 60g, Carbs = 90g, Total Calories = 1200]",50.0,60.0,90.0,1200.0
Green Curry Vinegar Chicken,green-curry-vinegar-chicken,"[Protein = 25g, Fat = 40g, Carbs = 65g, Total Calories = 850]",25.0,40.0,65.0,850.0
Ginger-Scallion Meatballs With Green Curry Sauce,ginger-scallion-meatballs-with-green-curry-sauce,"[Protein = 25g, Fat = 35g, Carbs = 70g, Total Calories = 800]",25.0,35.0,70.0,800.0
Chocolate-Almond Fridge Fudge,chocolate-almond-fridge-fudge,"[Protein = 10g, Fat = 25g, Carbs = 50g, Total Calories = 500]",10.0,25.0,50.0,500.0
Ultimate Green Curry (Gaeng Khiaw Wan Gai),thai-green-curry-chicken-gaeng-khiaw-wan-gai,"[Protein = 45g, Fat = 50g, Carbs = 85g, Total Calories = 1100]",45.0,50.0,85.0,1100.0
Risotto With Mushrooms and Thyme,risotto-with-mushrooms-and-thyme,"[Protein = 25g, Fat = 35g, Carbs = 60g, Total Calories = 800]",25.0,35.0,60.0,800.0
Thai Green Curry Paste,thai-green-curry-paste,"[Protein = 25g, Fat = 30g, Carbs = 60g, Total Calories = 750]",25.0,30.0,60.0,750.0
"Breakfast Sandwich on an English Muffin With Charred Red Onions, Herbs, and Cheddar",breakfast-egg-sandwich-on-english-muffin-charred-red-onions-herbs-and-cheddar,"[Protein = 20g, Fat = 35g, Carbs = 55g, Total Calories = 750]",20.0,35.0,55.0,750.0
Cauliflower Bolognese,cauliflower-bolognese-pasta,"[Protein = 25g, Fat = 45g, Carbs = 60g, Total Calories = 850]",25.0,45.0,60.0,850.0
Chickpea and Chorizo Tostadas,chickpea-and-chorizo-tostadas,"[Protein = 30g, Fat = 50g, Carbs = 75g, Total Calories = 1000]",30.0,50.0,75.0,1000.0
Crispy Tofu With Maple-Soy Glaze,crispy-tofu-with-maple-soy-glaze,"[Protein = 20g, Fat = 30g, Carbs = 50g, Total Calories = 650]",20.0,30.0,50.0,650.0
Big Flavor Broccoli,big-flavor-broccoli,"[Protein = 20g, Fat = 35g, Carbs = 50g, Total Calories = 750]",20.0,35.0,50.0,750.0
Pork Marbella,pork-marbella,"[Protein = 30g, Fat = 40g, Carbs = 70g, Total Calories = 950]",30.0,40.0,70.0,950.0
Chicken and Rice Meatballs With Hummus,chicken-and-rice-meatballs-with-hummus,"[Protein = 45g, Fat = 60g, Carbs = 85g, Total Calories = 1200]",45.0,60.0,85.0,1200.0
Power Butter,power-butter,"[Protein = 25g, Fat = 35g, Carbs = 60g, Total Calories = 850]",25.0,35.0,60.0,850.0
Bright and Spicy Shrimp Noodle Salad,bright-and-spicy-shrimp-noodle-salad,"[Protein = 15g, Fat = 30g, Carbs = 50g, Total Calories = 600]",15.0,30.0,50.0,600.0
Steamed Kabocha With Ginger-Soy Dressing,steamed-kabocha-squash-with-ginger-soy-dressing,"[Protein = 20g, Fat = 25g, Carbs = 50g, Total Calories = 650]",20.0,25.0,50.0,650.0
Turmeric Salmon With Coconut Crisp,turmeric-salmon-with-coconut-crisp,"[Protein = 25g, Fat = 35g, Carbs = 60g, Total Calories = 800]",25.0,35.0,60.0,800.0
Za’atar Fish and Chips,zaatar-fish-and-chips,"[Protein = 35g, Fat = 45g, Carbs = 80g, Total Calories = 1000]",35.0,45.0,80.0,1000.0
Warm Winter Vegetable Salad With Halloumi,warm-winter-vegetable-salad-with-halloumi,"[Protein = 25g, Fat = 40g, Carbs = 65g, Total Calories = 850]",25.0,40.0,65.0,850.0
Kale Pesto With Whole Wheat Pasta,kale-pesto-with-whole-wheat-pasta,"[Protein = 25g, Fat = 40g, Carbs = 55g, Total Calories = 800]",25.0,40.0,55.0,800.0
Lentil-Smothered Greens on Fried Bread,lentil-smothered-greens-on-fried-bread,"[Protein = 20g, Fat = 35g, Carbs = 60g, Total Calories = 750]",20.0,35.0,60.0,750.0
Rosemary Mojito,rosemary-mojito-winter-drinks,"[Protein = 25g, Fat = 45g, Carbs = 70g, Total Calories = 950]",25.0,45.0,70.0,950.0
Double Chocolate Rye Cookies,double-chocolate-rye-cookies,"[Protein = 30g, Fat = 40g, Carbs = 75g, Total Calories = 1000]",30.0,40.0,75.0,1000.0
That'll Take the Edge Off,thatll-take-the-edge-off-sazerac-cocktail-riff,"[Protein = 1g, Fat = 3g, Carbs = 4g, Total Calories = 40]",1.0,3.0,4.0,40.0
Aviation,aviation-cocktail-gin-violette,"[Protein = 1g, Fat = 0g, Carbs = 6g, Total Calories = 35]",1.0,0.0,6.0,35.0
Bittersweet Symphony (Gin and Aperol Cocktail),bittersweet-symphony-gin-aperol-cocktail,"[Protein = 1g, Fat = 0g, Carbs = 5g, Total Calories = 30]",1.0,0.0,5.0,30.0
Sforzando (Whiskey and Mezcal Cocktail),sforzando-whiskey-and-mezcal-cocktail,"[Protein = 2g, Fat = 5g, Carbs = 5g, Total Calories = 70]",2.0,5.0,5.0,70.0
Little Italy,little-italy-cocktail-manhattan-riff,"[Protein = 3g, Fat = 6g, Carbs = 10g, Total Calories = 100]",3.0,6.0,10.0,100.0
Oaxaca Old Fashioned,oaxaca-old-fashioned-tequila-cocktail,"[Protein = 2g, Fat = 5g, Carbs = 7g, Total Calories = 80]",2.0,5.0,7.0,80.0
Manhattan,manhattan-238166,"[Protein = 2g, Fat = 5g, Carbs = 8g, Total Calories = 80]",2.0,5.0,8.0,80.0
Rose Cocoa,rose-cocoa,"[Protein = 2g, Fat = 14g, Carbs = 18g, Total Calories = 220]",2.0,14.0,18.0,220.0
East India Negroni,east-india-negroni-rum-campari-cocktail,"[Protein = 0g, Fat = 0g, Carbs = 3g, Total Calories = 15]",0.0,0.0,3.0,15.0
Bitter French,bitter-french-cocktail-champagne-campari-gin,"[Protein = 1g, Fat = 1g, Carbs = 7g, Total Calories = 45]",1.0,1.0,7.0,45.0
Negroni,negroni-351597,"[Protein = 1g, Fat = 0g, Carbs = 5g, Total Calories = 30]",1.0,0.0,5.0,30.0
Roasted Oysters With Warm Butter Mignonette,oven-roasted-oysters-with-butter-mignonette,"[Protein = 5g, Fat = 7g, Carbs = 25g, Total Calories = 220]",5.0,7.0,25.0,220.0
Steamed Winter Veggie Bowls,steamed-winter-veggie-bowls,"[Protein = 9g, Fat = 21g, Carbs = 40g, Total Calories = 380]",9.0,21.0,40.0,380.0
Chicken Peppersoup,nigerian-chicken-peppersoup,"[Protein = 25g, Fat = 15g, Carbs = 40g, Total Calories = 380]",25.0,15.0,40.0,380.0
"Shaved Mushroom, Celery, and Sesame Salad",shaved-mushroom-celery-and-sesame-salad,"[Protein = 5g, Fat = 16g, Carbs = 25g, Total Calories = 270]",5.0,16.0,25.0,270.0
Tartiflette,tartiflette-potato-cheese-gratin,"[Protein = 6g, Fat = 27g, Carbs = 45g, Total Calories = 500]",6.0,27.0,45.0,500.0
Broiled Goat Cheese Toasts With Marinated Greens,broiled-goat-cheese-toasts-with-marinated-greens,"[Protein = 7g, Fat = 15g, Carbs = 20g, Total Calories = 230]",7.0,15.0,20.0,230.0
Silken Tofu With Soy-Sauced Tomatoes,silken-tofu-with-soy-sauced-tomatoes,"[Protein = 8g, Fat = 9g, Carbs = 25g, Total Calories = 230]",8.0,9.0,25.0,230.0
Market Suya (Nigerian Skewers),market-suya-nigerian-skewers,"[Protein = 34g, Fat = 32g, Carbs = 30g, Total Calories = 510]",34.0,32.0,30.0,510.0
Egusi Stew,nigerian-egusi-stew-with-goat,"[Protein = 35g, Fat = 35g, Carbs = 50g, Total Calories = 650]",35.0,35.0,50.0,650.0
Casino Cocktail,casino-cocktail-gin-drink,"[Protein = 2g, Fat = 4g, Carbs = 10g, Total Calories = 70]",2.0,4.0,10.0,70.0
Chinese Broccoli With Soy Paste,chinese-broccoli-with-soy-paste,"[Protein = 2g, Fat = 0g, Carbs = 7g, Total Calories = 35]",2.0,0.0,7.0,35.0
Alfajores With Coconut Dulce de Leche,alfajores-cookies-with-coconut-dulce-de-leche,"[Protein = 2g, Fat = 22g, Carbs = 32g, Total Calories = 350]",2.0,22.0,32.0,350.0
Spinach and Egg Dumplings,spinach-and-egg-dumplings-dumpling-galaxy-recipe,"[Protein = 8g, Fat = 10g, Carbs = 18g, Total Calories = 200]",8.0,10.0,18.0,200.0
Soy-Braised Chicken Wings,soy-braised-chicken-wings,"[Protein = 40g, Fat = 35g, Carbs = 40g, Total Calories = 600]",40.0,35.0,40.0,600.0
Scallion-Oil Noodles,scallion-oil-noodles,"[Protein = 10g, Fat = 11g, Carbs = 27g, Total Calories = 220]",10.0,11.0,27.0,220.0
Crispy Taiwanese Pork Cutlets,crispy-taiwanese-pork-cutlets,"[Protein = 34g, Fat = 17g, Carbs = 38g, Total Calories = 440]",34.0,17.0,38.0,440.0
Turf Mix,turf-mix,"[Protein = 10g, Fat = 25g, Carbs = 45g, Total Calories = 500]",10.0,25.0,45.0,500.0
Lamb and Green Squash Dumplings,crispy-lamb-and-zucchini-dumplings-dumpling-galaxy,"[Protein = 30g, Fat = 18g, Carbs = 35g, Total Calories = 400]",30.0,18.0,35.0,400.0
Boiled or Panfried Dumpling Dough,boiled-or-panfried-dumpling-dough-helen-you-dumpling-galaxy-wrappers,"[Protein = 8g, Fat = 15g, Carbs = 27g, Total Calories = 270]",8.0,15.0,27.0,270.0
Parson’s Negroni Slushy,frozen-negroni-slushy-cocktail-parsons,"[Protein = 0g, Fat = 0g, Carbs = 20g, Total Calories = 80]",0.0,0.0,20.0,80.0
Mala Fried Peanuts,mala-fried-peanuts,"[Protein = 8g, Fat = 16g, Carbs = 15g, Total Calories = 210]",8.0,16.0,15.0,210.0
Five-Spice Powder,five-spice-powder,"[Protein = 1g, Fat = 2g, Carbs = 10g, Total Calories = 50]",1.0,2.0,10.0,50.0
Pork Wontons With Sesame Sauce,pork-wontons-with-sesame-sauce,"[Protein = 35g, Fat = 50g, Carbs = 60g, Total Calories = 800]",35.0,50.0,60.0,800.0
Kiribath (Coconut Milk Rice),kiribath-coconut-milk-rice-sri-lanka-the-cookbook,"[Protein = 10g, Fat = 15g, Carbs = 40g, Total Calories = 400]",10.0,15.0,40.0,400.0
Pol Sambol (Coconut Relish),pol-sambol-coconut-relish-sri-lanka-the-cookbook,"[Protein = 2g, Fat = 8g, Carbs = 15g, Total Calories = 150]",2.0,8.0,15.0,150.0
Steel-Cut Oats with Squash and Tahini,steel-cut-oatmeal-with-squash-tahini-lukas-volger-start-simple-cookbook-breakfast-recipe,"[Protein = 7g, Fat = 15g, Carbs = 25g, Total Calories = 300]",7.0,15.0,25.0,300.0
"Roasted, Mashed Butternut Squash",roasted-mashed-butternut-squash-start-simple-lukas-volger,"[Protein = 3g, Fat = 7g, Carbs = 15g, Total Calories = 170]",3.0,7.0,15.0,170.0
Mussel Minestrone,mussel-minestrone,"[Protein = 10g, Fat = 17g, Carbs = 40g, Total Calories = 500]",10.0,17.0,40.0,500.0
"One-Pot Pie with Callaloo, Plantain, Goat Cheese, and Cornmeal Crust",one-pot-pie-with-callaloo-plantain-goat-cheese-and-cornmeal-crust,"[Protein = 12g, Fat = 15g, Carbs = 25g, Total Calories = 350]",12.0,15.0,25.0,350.0
Chicken and Black Bean Nachos,easy-chicken-and-black-bean-nachos-lucinda-scala-quinn-cookbook-recipe,"[Protein = 12g, Fat = 24g, Carbs = 40g, Total Calories = 500]",12.0,24.0,40.0,500.0
Ackee Tacos with Island Guacamole,ackee-tacos-with-island-guacamole,"[Protein = 7g, Fat = 22g, Carbs = 30g, Total Calories = 350]",7.0,22.0,30.0,350.0
"Watermelon, Lime, and White Pepper Yogurt Drink",watermelon-lime-and-white-pepper-yogurt-drink-baco-los-angeles-recipe,"[Protein = 3g, Fat = 3g, Carbs = 16g, Total Calories = 100]",3.0,3.0,16.0,100.0
Watermelon Chia Smoothie,watermelon-chia-smoothie-strawberries-cauliflower-quick-breakfast-catherine-mccord,"[Protein = 4g, Fat = 1g, Carbs = 20g, Total Calories = 80]",4.0,1.0,20.0,80.0
Secret Mango Creamsicle Smoothie,mango-persimmon-creamsicle-smoothie-catherine-mccord-recipe,"[Protein = 6g, Fat = 10g, Carbs = 17g, Total Calories = 180]",6.0,10.0,17.0,180.0
Blueberry Muffin Smoothie,blueberry-muffin-smoothie-catherine-mccord-banana-yogurt-oats-breakfast,"[Protein = 5g, Fat = 5g, Carbs = 15g, Total Calories = 130]",5.0,5.0,15.0,130.0
Apple Pie Smoothie,apple-pie-smoothie-smoothie-project-catherine-mccord,"[Protein = 4g, Fat = 7g, Carbs = 17g, Total Calories = 160]",4.0,7.0,17.0,160.0
Bean Lavash Triangles,bean-lavash-triangles,"[Protein = 6g, Fat = 7g, Carbs = 20g, Total Calories = 180]",6.0,7.0,20.0,180.0
"Pineapple, Blackberry, and Basil Smoothie",pineapple-blackberry-and-basil-smoothie-nonalcoholic-drink-michael-symon,"[Protein = 2g, Fat = 3g, Carbs = 15g, Total Calories = 80]",2.0,3.0,15.0,80.0
Morning Sunrise Smoothie,morning-sunrise-smoothie-carrot-ginger-pineapple-michael-symon-recipe,"[Protein = 2g, Fat = 1g, Carbs = 22g, Total Calories = 100]",2.0,1.0,22.0,100.0
Black-and-White-and-Green Cookies,black-and-white-and-green-cookies,"[Protein = 7g, Fat = 9g, Carbs = 22g, Total Calories = 200]",7.0,9.0,22.0,200.0
Chewy Ginger-Rye Cookies,chewy-ginger-rye-cookies,"[Protein = 5g, Fat = 12g, Carbs = 23g, Total Calories = 250]",5.0,12.0,23.0,250.0
Malaysian Chicken Curry with Buttermilk Beer Beignets,malaysian-chicken-curry-with-buttermilk-beer-beignets,"[Protein = 28g, Fat = 12g, Carbs = 30g, Total Calories = 400]",28.0,12.0,30.0,400.0
Tea-Totaler’s Toddy,tea-totalers-toddy,"[Protein = 5g, Fat = 0g, Carbs = 5g, Total Calories = 25]",5.0,0.0,5.0,25.0
Almond Pad Thai With Shiritaki Noodles,almond-pad-thai-with-shiritaki-noodles,"[Protein = 5g, Fat = 14g, Carbs = 17g, Total Calories = 210]",5.0,14.0,17.0,210.0
Spicy Citrus Refresher,spicy-citrus-spritzer-with-orange-and-jalapeno,"[Protein = 10g, Fat = 12g, Carbs = 15g, Total Calories = 220]",10.0,12.0,15.0,220.0
Shirley Tonic,spiced-pomegranate-tonic,"[Protein = 3g, Fat = 5g, Carbs = 22g, Total Calories = 130]",3.0,5.0,22.0,130.0
Pine Nut and White Bean Dip,pine-nut-and-white-bean-dip,"[Protein = 6g, Fat = 12g, Carbs = 15g, Total Calories = 180]",6.0,12.0,15.0,180.0
Lime-Cilantro Chicken and Broccoli,lime-cilantro-chicken-and-broccoli,"[Protein = 32g, Fat = 11g, Carbs = 42g, Total Calories = 510]",32.0,11.0,42.0,510.0
Instant Pot Coconut Green Curry Shrimp,instant-pot-coconut-green-curry-shrimp,"[Protein = 20g, Fat = 9g, Carbs = 26g, Total Calories = 300]",20.0,9.0,26.0,300.0
Better Than Celery Juice,celery-apple-juice-tonic,"[Protein = 2g, Fat = 4g, Carbs = 18g, Total Calories = 100]",2.0,4.0,18.0,100.0
Shredded Daikon Salad,shredded-daikon-salad,"[Protein = 2g, Fat = 0g, Carbs = 12g, Total Calories = 50]",2.0,0.0,12.0,50.0
Okonomiyaki (“As You Like It”) Pancakes With Bonito Flakes,okonomiyaki-as-you-like-it-pancakes-with-bonito-flakes,"[Protein = 18g, Fat = 12g, Carbs = 25g, Total Calories = 300]",18.0,12.0,25.0,300.0
Paneer Butter Masala,paneer-butter-masala,"[Protein = 20g, Fat = 22g, Carbs = 30g, Total Calories = 400]",20.0,22.0,30.0,400.0
Pesto Pasta Frittata,pesto-pasta-frittata,"[Protein = 8g, Fat = 15g, Carbs = 24g, Total Calories = 270]",8.0,15.0,24.0,270.0
"Salmon Confit with Lime, Juniper, and Fennel",salmon-confit-with-lime-juniper-and-fennel,"[Protein = 26g, Fat = 17g, Carbs = 40g, Total Calories = 450]",26.0,17.0,40.0,450.0
Coconut-Braised Chickpeas with Sweet Potatoes and Greens,coconut-braised-chickpeas-with-sweet-potatoes-and-greens,"[Protein = 16g, Fat = 25g, Carbs = 30g, Total Calories = 400]",16.0,25.0,30.0,400.0
Crispy Sheet-Pan Broccoli,crispy-sheet-pan-broccoli,"[Protein = 5g, Fat = 15g, Carbs = 24g, Total Calories = 270]",5.0,15.0,24.0,270.0
Prawn Moilee,prawn-moilee-south-indian-shrimp-curry-with-coconut,"[Protein = 20g, Fat = 10g, Carbs = 40g, Total Calories = 350]",20.0,10.0,40.0,350.0
Spinach and Feta Cooked Like Saag Paneer,saag-feta-spinach-indian-ish-priya-krishna,"[Protein = 20g, Fat = 25g, Carbs = 32g, Total Calories = 400]",20.0,25.0,32.0,400.0
Cardamom-Pistachio Bûche de Noël,cardamom-pistachio-buche-de-noel,"[Protein = 10g, Fat = 18g, Carbs = 22g, Total Calories = 240]",10.0,18.0,22.0,240.0
Tonnato Eggs,tonatto-eggs,"[Protein = 28g, Fat = 12g, Carbs = 35g, Total Calories = 400]",28.0,12.0,35.0,400.0
Chickpea-Mushroom Burgers,chickpea-mushroom-burgers,"[Protein = 15g, Fat = 18g, Carbs = 30g, Total Calories = 350]",15.0,18.0,30.0,350.0
Kimchi Soup With Tofu and Clams,kimchi-soup-with-tofu-and-clams,"[Protein = 16g, Fat = 20g, Carbs = 35g, Total Calories = 380]",16.0,20.0,35.0,380.0
Roasted Cabbage Steaks With Crispy Chickpeas and Herby Croutons,roasted-cabbage-steaks-with-crispy-chickpeas-and-herby-croutons,"[Protein = 20g, Fat = 12g, Carbs = 24g, Total Calories = 300]",20.0,12.0,24.0,300.0
Creamy Squash Risotto With Toasted Pepitas,creamy-squash-risotto-with-toasted-pepitas,"[Protein = 8g, Fat = 7g, Carbs = 23g, Total Calories = 180]",8.0,7.0,23.0,180.0
Winter Salad Hummus Bowls,winter-salad-hummus-bowls,"[Protein = 10g, Fat = 14g, Carbs = 27g, Total Calories = 280]",10.0,14.0,27.0,280.0
Ponche a Crème,ponche-a-crema,"[Protein = 10g, Fat = 16g, Carbs = 20g, Total Calories = 280]",10.0,16.0,20.0,280.0
Seedy Power Sprinkle,seedy-power-sprinkle,"[Protein = 14g, Fat = 20g, Carbs = 22g, Total Calories = 300]",14.0,20.0,22.0,300.0
Salad Pasta,salad-pasta,"[Protein = 5g, Fat = 8g, Carbs = 18g, Total Calories = 150]",5.0,8.0,18.0,150.0
Martini-on-the-Rocks,martini-on-the-rocks-easy-cocktail-retro-gin-vodka,"[Protein = 10g, Fat = 15g, Carbs = 25g, Total Calories = 270]",10.0,15.0,25.0,270.0
Oystertini,oystertini-oyster-martini-cocktail,"[Protein = 8g, Fat = 10g, Carbs = 20g, Total Calories = 230]",8.0,10.0,20.0,230.0
Sakura Martini,sakura-martini-kenta-goto-sake-cocktail,"[Protein = 2g, Fat = 6g, Carbs = 12g, Total Calories = 120]",2.0,6.0,12.0,120.0
Allies Cocktail,allies-cocktail-martini-variation-hugo-ensslin-kummel-gin,"[Protein = 1g, Fat = 3g, Carbs = 9g, Total Calories = 80]",1.0,3.0,9.0,80.0
Puritan Cocktail,puritan-cocktail-martini-variation-chartreuse,"[Protein = 5g, Fat = 9g, Carbs = 15g, Total Calories = 160]",5.0,9.0,15.0,160.0
Tuxedo No. 2,tuxedo-no-2-martini-cocktail-variation-absinthe,"[Protein = 4g, Fat = 6g, Carbs = 12g, Total Calories = 130]",4.0,6.0,12.0,130.0
Obituary Cocktail,obituary-cocktail-martini-riff-drink,"[Protein = 20g, Fat = 30g, Carbs = 45g, Total Calories = 550]",20.0,30.0,45.0,550.0
Classic Dry Martini,classic-dry-martini-237574,"[Protein = 6g, Fat = 7g, Carbs = 18g, Total Calories = 180]",6.0,7.0,18.0,180.0
Chard-Wrapped Fish with Lemon and Olive,chard-wrapped-fish-with-lemon-and-olive,"[Protein = 12g, Fat = 16g, Carbs = 35g, Total Calories = 380]",12.0,16.0,35.0,380.0
"Chilaquiles With Bacon, Eggs, and Cheese",chilaquiles-with-bacon-eggs-and-cheese,"[Protein = 7g, Fat = 15g, Carbs = 25g, Total Calories = 300]",7.0,15.0,25.0,300.0
Instant Pot Tequila Lime Carnitas,instant-pot-tequila-lime-carnitas,"[Protein = 28g, Fat = 25g, Carbs = 35g, Total Calories = 450]",28.0,25.0,35.0,450.0
Instant Pot Chicken Parmesan Meatballs,instant-pot-chicken-parmesan-meatballs,"[Protein = 20g, Fat = 20g, Carbs = 35g, Total Calories = 400]",20.0,20.0,35.0,400.0
Spicy Chickpea Poppers,spicy-chickpea-poppers,"[Protein = 18g, Fat = 18g, Carbs = 40g, Total Calories = 450]",18.0,18.0,40.0,450.0
Pandora’s Box,pandoras-box-shibuya-honey-toast,"[Protein = 14g, Fat = 16g, Carbs = 30g, Total Calories = 350]",14.0,16.0,30.0,350.0
Islay and Olive,islay-and-olive-batched-dirty-martini-cocktail,"[Protein = 10g, Fat = 22g, Carbs = 30g, Total Calories = 370]",10.0,22.0,30.0,370.0
Sneaky Peat,sneaky-peat-cranberry-scotch-big-batch-cocktail,"[Protein = 16g, Fat = 20g, Carbs = 35g, Total Calories = 400]",16.0,20.0,35.0,400.0
The Blaylock,blaylock-nonalcoholic-mocktail-grapefruit-honey-drink,"[Protein = 10g, Fat = 18g, Carbs = 28g, Total Calories = 360]",10.0,18.0,28.0,360.0
Pansit Palabok (Rice Noodles with Shrimp Sauce),pansit-palabok-rice-noodles-with-shrimp-sauce-pancit-filipino-dish,"[Protein = 15g, Fat = 18g, Carbs = 32g, Total Calories = 380]",15.0,18.0,32.0,380.0
Bubble and Squeak With Stilton,bubble-and-squeak-with-stilton,"[Protein = 5g, Fat = 14g, Carbs = 35g, Total Calories = 300]",5.0,14.0,35.0,300.0
Portobello Mushroom Wellington,vegetarian-portobello-mushroom-wellington,"[Protein = 20g, Fat = 18g, Carbs = 35g, Total Calories = 380]",20.0,18.0,35.0,380.0
Spiced Pomegranate and Orange Glazed Ham,spiced-pomegranate-and-orange-glazed-ham,"[Protein = 24g, Fat = 32g, Carbs = 130g, Total Calories = 1015]",24.0,32.0,130.0,1015.0
Christmas Cake,christmas-fruit-cake,"[Protein = 25g, Fat = 60g, Carbs = 150g, Total Calories = 1250]",25.0,60.0,150.0,1250.0
Super-Simple Overnight Porridge,overnight-porridge-congee-chao-andrea-nguyen-vietnamese-rice-soup,"[Protein = 6g, Fat = 7g, Carbs = 48g, Total Calories = 280]",6.0,7.0,48.0,280.0
Sourdough Rye Brownies,sourdough-rye-brownies,"[Protein = 8g, Fat = 47g, Carbs = 82g, Total Calories = 930]",8.0,47.0,82.0,930.0
Smoked Trout Croquettes,smoked-trout-croquettes,"[Protein = 10g, Fat = 16g, Carbs = 44g, Total Calories = 400]",10.0,16.0,44.0,400.0
Smoked Salmon Tartare,smoked-salmon-tartare,"[Protein = 9g, Fat = 12g, Carbs = 8g, Total Calories = 150]",9.0,12.0,8.0,150.0
Vanilla Butter Anchovy Toasts,vanilla-butter-anchovy-toasts,"[Protein = 6g, Fat = 9g, Carbs = 24g, Total Calories = 220]",6.0,9.0,24.0,220.0
Lavash,lavash,"[Protein = 6g, Fat = 4g, Carbs = 58g, Total Calories = 290]",6.0,4.0,58.0,290.0
Ragù Bolognese,ragu-bolognese-canal-house-cook-something,"[Protein = 28g, Fat = 28g, Carbs = 45g, Total Calories = 500]",28.0,28.0,45.0,500.0
Oysters with Balsamic,oysters-with-balsamicandnbsp,"[Protein = 10g, Fat = 2g, Carbs = 4g, Total Calories = 70]",10.0,2.0,4.0,70.0
Coconut Cabbage and Tofu With Lemongrass and Ginger,coconut-cabbage-and-tofu-with-lemongrass-and-ginger,"[Protein = 10g, Fat = 15g, Carbs = 28g, Total Calories = 350]",10.0,15.0,28.0,350.0
Pecan-Rye Pumpkin Pie,pecan-rye-pumpkin-pie,"[Protein = 9g, Fat = 25g, Carbs = 70g, Total Calories = 640]",9.0,25.0,70.0,640.0
